name,price,deal,shop_name,location,url
【双11预售】阿玛尼红黑管挚爱哑光唇膏口红大牌正品405/406,350.00,6000+人付款,阿玛尼美妆官方旗舰店,江苏 苏州,https://click.simba.taobao.com/cc_im?p=%BF%DA%BA%EC&s=59363163&k=621&e=8MfoWKeY6azvxwgIXVfD40Nlv8PGaDWBQS5%2BVS1IC8yl6CQHzrwjGT2nqTrtAUbuPYeLMCoKliEGPFm%2BcSHho88N8co4rU92kp2dL%2B0ZXeXyFvc%2FspYxlalUiGujWjq9BF7tVSSFXohFKMJ6Hrv%2BcyDig7NTFmecwfXgfUHgK5w6q0NLT%2BQs1qCU3PJZPyTmcHu6JAu1ovxqeQZn4lcOT4KYHx%2BYLUbzWu9bs5KBLHRgMHqk3eRV710j5dtSciXs4oHD%2BEAcdUJ%2FWdJn265llBTFI%2BNg2eALhdaeWrgOfTdbTuNtoS6tBeCWq%2BHKdCztds20igGcLV%2FmUifq3%2BnqjXi7adyqN6rLGRMUsnb5C4%2F0kFtD%2FSJNYEVGQDRmnZRxzWUpqn1I6TZIPsYGocz6fnEYX7OmBm7yvNE%2BzuRBlfnGemO6FYyEnZuuHaZ6cj7L0EGRTFoMVmmBg2%2BsaSz%2BXzPx0ijFBc05unk%2FvsEJGax0XwdNBtXuOiUm9Vx3cKLDQALUg5qJtEd2gUcF2fZs34tMxERQvT%2FZ69IytIlOpWWAMPkdZGg7wQZFfQsMMTanOom%2BbIpYg7NPuNko9jwhApAqufUwPd7VRdqj%2FS5Bh4k%3D
【官方正品】TOM FORD唇膏TF口红黑管16 100哑光奶油唇膏大牌正品,450.00,1000+人付款,tomford汤姆福特旗舰店,浙江 嘉兴,https://click.simba.taobao.com/cc_im?p=%BF%DA%BA%EC&s=59363163&k=621&e=5bEIlBhoCALvxwgIXVfD40Nlv8PGaDWBQS5%2BVS1IC8yl6CQHzrwjGT2nqTrtAUbuz2JEsIXRe8zJoJo5Tkm41I5%2B5kc382Vokp2dL%2B0ZXeXyFvc%2FspYxlalUiGujWjq9BF7tVSSFXohFKMJ6Hrv%2BcyDig7NTFmecwfXgfUHgK5w6q0NLT%2BQs1qCU3PJZPyTmcHu6JAu1ovxqeQZn4lcOT4KYHx%2BYLUbzWu9bs5KBLHRgMHqk3eRV710j5dtSciXs4oHD%2BEAcdUIrAOHZ9lLAzn1USL6SmLm1hpKVPxEsxe9XgJtUlVvXSN%2FaIXjUL4OUpxwYOz6SBuKFMNIm04Ie9BuadvUcjb2g4UdkcK%2BQNCMy5WopDImZywWfwMsE7TcmoE2h0NP%2FlioonVPi%2FnuZnC0cQtrcEHdwOpXYED1uO%2FDN18D%2FFoiVQNAo%2BHmigPR01G4WXbVlHh%2FPTFbHZcIIVsE4lDOUJ79AIXnKftbpkAexLdA3UxXqCArnUNgSLmYsVDlzhekKNsUyRhzkiCZjCbBADOgwLkOK%2FVX7fEGeePmLtBfoYtDBin7NWtNKP5ABsctkzTqDOTAzrz3iIgdwJBuTpLIobXnwHfcwe3zx7VA%3D
【同心礼】花西子同心锁口红/浮雕雕花哑光唇膏女滋润浆果红棕色,219.00,1万+人付款,花西子旗舰店,浙江 杭州,https://click.simba.taobao.com/cc_im?p=%BF%DA%BA%EC&s=59363163&k=621&e=CYyYtPVpntrvxwgIXVfD40Nlv8PGaDWBQS5%2BVS1IC8yl6CQHzrwjGT2nqTrtAUbuz2JEsIXRe8xhbLX%2F5dhGeTboka9SMTbXkp2dL%2B0ZXeXyFvc%2FspYxlalUiGujWjq9BF7tVSSFXohFKMJ6Hrv%2BcyDig7NTFmecwfXgfUHgK5w6q0NLT%2BQs1qCU3PJZPyTmcHu6JAu1ovxqeQZn4lcOT4KYHx%2BYLUbzWu9bs5KBLHRgMHqk3eRV710j5dtSciXs4oHD%2BEAcdUI0ah4y0uj3nzPoHJhCWE4PZm2gqjRosL7xB%2FnE1BcwxVH7OpPG1qR7NTfcDOdybTVFx4opiV8sfBhk6MWxx1%2F%2B4UdkcK%2BQNCMy5WopDImZywWfwMsE7TcmoE2h0NP%2FlioonVPi%2FnuZnAUQbFDGEpjIBbKdC6ERFe7N18D%2FFoiVQEhDH0MphMXOA3voU5LTHglnIpQHvelsJ9jO8tyavs2vTLcRYvXWXPh319LklO2f1yOehlSmVVrn%2BCBExRKO24si2rChlfEKzKXFjRc5VaamMbjlfnYBrXRtmdjc%2FY2IzkJq31CjtOUnvnnoItkiTyaKmkEEexH%2BhoKpWKHopcffkSbJYzURQOg%3D
colorkey珂拉琪哆啦A梦空气唇釉丝绒哑光口红雾面唇彩女平价显白,69.00,2000+人付款,colorkey旗舰店,广东 广州,https://detail.tmall.com/item.htm?id=627945660265&ns=1&abbucket=4
【热巴同款】colorkey珂拉琪黑缎唇釉哑光雾面口红唇彩滋润显白女,69.00,8万+人付款,colorkey旗舰店,广东 广州,https://detail.tmall.com/item.htm?id=643530048858&ns=1&abbucket=4
卡姿兰口红新款雾吻唇釉膏唇彩女小众大品牌豆沙色官方旗舰店正品,119.00,2万+人付款,卡姿兰官方旗舰店,广东 广州,https://detail.tmall.com/item.htm?id=610491349125&ns=1&abbucket=4
【官方正品】阿玛尼红管唇釉丝绒哑光口红大牌烂番茄405/214/206,310.00,2000+人付款,阿玛尼美妆官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=563592325294&ns=1&abbucket=4
【双11预售】欧莱雅绒雾唇霜666细管正红色大牌口红哑光丝绒女275,155.00,2万+人付款,欧莱雅彩妆官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=652604065101&ns=1&abbucket=4
【双11立即加购】完美日记小细跟口红皮箱礼盒哑光唇膏持久化妆品,769.00,1000+人付款,perfectdiary旗舰店,广东 广州,https://detail.tmall.com/item.htm?id=643266126121&ns=1&abbucket=4
【双11预售】3CE丝绒唇釉唇泥 柔焦雾面哑光慕斯口红唇泥ins,110.00,10万+人付款,3ce官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=631873305236&ns=1&abbucket=4
