name,price,deal,shop_name,location,url
【双11即享】Too Faced多面派对天生美肌养肤粉底液,330.00,9人付款,toofaced官方海外旗舰店,浙江 杭州,https://click.simba.taobao.com/cc_im?p=%B7%DB%B5%D7%D2%BA&s=1401475899&k=633&e=plQCrV%2FnPX4V2LWg6oH8N4Fe576KJCYbDvpb8e00arbhgaZBZ86M2JDYCy8FZHhFMTyoTvaaJ4doBkk5zzAlLrxdHiWzeEacQkaYASKyWAyWc2oVRvfM5jskl%2FzHNP4vr1DgQFWMITxN6r7isfneUMwWxW9GzK51aZCC1OawOsnG4g5oc4APx8gotStFoeoCynIip7sPYpJ337tagLZEboVCjaMT7MYaHv3G6xDABzhXVDEydQkpkZ%2FUAm88OWAynqC%2FumFTMMw8VQnbVQVqIjYOhX8vpSsxY74LD3aUu%2Fq11yzYdmegAwoOEpMVLjPhDRneyBcwx5C0Bpi2uukfB1ucHRWkycTe5NJowMI2x7sDdz3pHqjpIp%2FuFAXNs3h1IqDTzZAqZEBca90GFDBwRNP9nqzR2uk786BiPs%2FeT9DkUqc8kXWNYtq9hsUmQXKA3L71NwZ%2FrGRCamZ5gFlERKpKQ%2FWKSgWHrquShOLPGiIJqK1LY63aTdTLvi5sCHbynafZQjrFr9RqOJx5iUCJKkwmEjS5yrOVxA5ib5hXS62E4H03ajkSDXNnU3FzgM4Y1VnrOfERBtFnQMbZBDOgzVi3pyeV%2FsOh3RUoF3Kil66yii2CKOX%2B0A%3D%3D
【双11立即预定】自然堂感光无瑕持妆粉底液油皮亲妈遮瑕养肤提亮,128.00,3000+人付款,自然堂旗舰店,浙江 嘉兴,https://click.simba.taobao.com/cc_im?p=%B7%DB%B5%D7%D2%BA&s=1401475899&k=653&e=QgRlu5UkSzMV2LWg6oH8N4Fe576KJCYbDvpb8e00arbhgaZBZ86M2JDYCy8FZHhF9RFW7V1jy8nWVy2CNVYPYLN5%2BSnP6X6%2BySwTLFdCLfiWc2oVRvfM5jskl%2FzHNP4vr1DgQFWMITxN6r7isfneUMwWxW9GzK51aZCC1OawOsnG4g5oc4APx8gotStFoeoCynIip7sPYpJ337tagLZEboVCjaMT7MYaHv3G6xDABzhMl9lwrTMjKB6AhyC%2Fx6XeBvfAPnLZVM5Wn5nf7A5zvthOlAD2ObFgZ8q0938lh2ZQdsXlCuy92AdGN05bGNuBj%2FGTs7kcvHueaT09uLMcGhYObwZwn3J9rWhoUxTWy58Bt59hofm9kgN3PekeqOkin%2B4UBc2zeHUioNPNkCpkQFxr3QYUMHBE0%2F2erNHa6TvuclQi9K2A0Ws8Cud14%2FwX2r2GxSZBcoDcvvU3Bn%2BsZMcX7SR7UqBLwEs8yMQa4vBDSpbWTbYbfSUMLZyN4TXCrAfyhJI%2FgGQ14dlnckYJPZPysWYT9qzbwxLvs56FYYn91IHpKiT49fULxMcRoAGfo%2FnB1sMh%2BPIpDd5p%2BWWNPRtOvw1kR5Y17wWHVEWvuJDOIPU2YOZE4UT1AQsOFIpLAQsKG6BtUiM%3D
【双11预售】植村秀新品小方瓶羽纱持妆粉底液控油遮瑕抗氧化持色,430.00,2万+人付款,植村秀官方旗舰店,江苏 苏州,https://click.simba.taobao.com/cc_im?p=%B7%DB%B5%D7%D2%BA&s=1401475899&k=633&e=rNGAMRrUsAsV2LWg6oH8N4Fe576KJCYbDvpb8e00arbhgaZBZ86M2JDYCy8FZHhFMTyoTvaaJ4d%2FeE8qES99okBx9zilQePcQkaYASKyWAyWc2oVRvfM5jskl%2FzHNP4vr1DgQFWMITxN6r7isfneUMwWxW9GzK51aZCC1OawOsnG4g5oc4APx8gotStFoeoCynIip7sPYpJ337tagLZEboVCjaMT7MYaHv3G6xDABzhXVDEydQkpkZ%2FUAm88OWAynqC%2FumFTMMw8VQnbVQVqIrqsRuFc%2Bko5uLi93neXEBMGQZEHxWjr4feyGCMVQyEsknWUdeszcJad22pLamleFUR9JUXYtqjfJw8Tm6pgeVNZC8qK%2F3I%2BIe9RauodOKiQAN%2BKAl%2FakILc1AvLjvsaTZ1C6Pjvrg9eVM%2FwLeR%2FshXDDN4LlLZNrpokAEggg0YTMTsmuF21nVa6ctmhnJS5WB9TUw2SwTbc1QvZn8oWVCxC56UFv7aIwcPYZHuuAfxU8NLSlrB1N1uI7B5EPSeeSl9TyAPqiA9PquwG9uoFxWcACEzITJkvYe%2BOA%2FkQl1TgLGVo7uu4PQbQ0ZfbT8H8z6yQZE1yLF%2BjcWCoWANI%2FdI8e3EA2lSe%2Fw%3D%3D
【双十一预售】雅诗兰黛DW持妆粉底液油皮亲妈持久不脱妆遮瑕控油,410.00,9万+人付款,雅诗兰黛官方旗舰店,上海,https://detail.tmall.com/item.htm?id=530542339390&ns=1&abbucket=3
【双十一抢先定】雅诗兰黛DW持妆粉底液 油皮亲妈持久不脱妆遮瑕,410.00,5000+人付款,雅诗兰黛官方旗舰店,上海,https://detail.tmall.com/item.htm?id=543800232086&ns=1&abbucket=3
【热巴同款】colorkey珂拉琪玫瑰锁妆粉底液持久不脱妆遮瑕油皮,149.00,1万+人付款,colorkey旗舰店,广东 广州,https://detail.tmall.com/item.htm?id=652347936585&ns=1&abbucket=3
【入店必买】Blank ME小黑盒气垫粉霜粉底液bb霜混干皮滋润养肤,259.00,9000+人付款,blankme海外旗舰店,浙江 宁波,https://detail.tmall.com/item.htm?id=630742959929&ns=1&abbucket=3
【双11预售】兰蔻新品奇迹水润水啵啵粉底液 滋润保湿遮瑕,490.00,9000+人付款,lancome兰蔻官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=653935907562&ns=1&abbucket=3
【双11预售直播专属】阿玛尼红气垫精华粉底液遮瑕保湿持妆控油,660.00,8000+人付款,阿玛尼美妆官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=640404427310&ns=1&abbucket=3
【立即预订】欧莱雅金致臻颜小金牌粉底液贴妆遮瑕柔光不脱妆,289.00,7000+人付款,欧莱雅官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=652245824017&ns=1&abbucket=3
